Home,Away,HomeGoals,AwayGoals,TotalGoals
Newcastle United,Nottingham Forest,1,3,4
Bournemouth,Fulham,3,0,3
Sheffield United,Luton Town,2,3,5
Burnley,Liverpool,0,2,2
Manchester United,Aston Villa,3,2,5
Wolverhampton Wanderers,Chelsea,2,1,3
West Ham United,Manchester United,2,0,2
Fulham,Burnley,0,2,2
Luton Town,Newcastle United,1,0,1
Nottingham Forest,Bournemouth,2,3,5
Tottenham Hotspur,Everton,2,1,3
Liverpool,Arsenal,1,1,2
Aston Villa,Sheffield United,1,1,2
Crystal Palace,Brighton and Hove Albion,1,1,2
Arsenal,Brighton and Hove Albion,2,0,2
Brentford,Aston Villa,1,2,3
West Ham United,Wolverhampton Wanderers,3,0,3
Liverpool,Manchester United,0,0,0
Chelsea,Sheffield United,2,0,2
Manchester City,Crystal Palace,2,2,4
Newcastle United,Fulham,3,0,3
Burnley,Everton,0,2,2
Nottingham Forest,Tottenham Hotspur,0,2,2
Everton,Chelsea,2,0,2
Fulham,West Ham United,5,0,5
Luton Town,Manchester City,1,2,3
Tottenham Hotspur,Newcastle United,4,1,5
Crystal Palace,Liverpool,1,2,3
Brighton and Hove Albion,Burnley,1,1,2
Manchester United,Bournemouth,0,3,3
Sheffield United,Brentford,1,0,1
Wolverhampton Wanderers,Nottingham Forest,1,1,2
Aston Villa,Arsenal,1,0,1
Everton,Newcastle United,3,0,3
Tottenham Hotspur,West Ham United,1,2,3
Brighton and Hove Albion,Brentford,2,1,3
Crystal Palace,Bournemouth,0,2,2
Fulham,Nottingham Forest,5,0,5
Sheffield United,Liverpool,0,2,2
Aston Villa,Manchester City,1,0,1
Manchester United,Chelsea,2,1,3
Wolverhampton Wanderers,Burnley,1,0,1
Luton Town,Arsenal,3,4,7
Bournemouth,Aston Villa,2,2,4
Chelsea,Brighton and Hove Albion,3,2,5
Liverpool,Fulham,4,3,7
West Ham United,Crystal Palace,1,1,2
Manchester City,Tottenham Hotspur,3,3,6
Arsenal,Wolverhampton Wanderers,2,1,3
Brentford,Luton Town,3,1,4
Burnley,Sheffield United,5,0,5
Nottingham Forest,Everton,0,1,1
Newcastle United,Manchester United,1,0,1
Fulham,Wolverhampton Wanderers,3,2,5
Tottenham Hotspur,Aston Villa,1,2,3
Everton,Manchester United,0,3,3
Manchester City,Liverpool,1,1,2
Burnley,West Ham United,1,2,3
Luton Town,Crystal Palace,2,1,3
Newcastle United,Chelsea,4,1,5
Nottingham Forest,Brighton and Hove Albion,2,3,5
Sheffield United,Bournemouth,1,3,4
Brentford,Arsenal,0,1,1
Aston Villa,Fulham,3,1,4
Brighton and Hove Albion,Sheffield United,1,1,2
Liverpool,Brentford,3,0,3
West Ham United,Nottingham Forest,3,2,5
Chelsea,Manchester City,4,4,8
Wolverhampton Wanderers,Tottenham Hotspur,2,1,3
Arsenal,Burnley,3,1,4
Crystal Palace,Everton,2,3,5
Manchester United,Luton Town,1,0,1
Bournemouth,Newcastle United,2,0,2
Tottenham Hotspur,Chelsea,1,4,5
Nottingham Forest,Aston Villa,2,0,2
Luton Town,Liverpool,1,1,2
Fulham,Manchester United,0,1,1
Brentford,West Ham United,3,2,5
Burnley,Crystal Palace,0,2,2
Everton,Brighton and Hove Albion,1,1,2
Manchester City,Bournemouth,6,1,7
Sheffield United,Wolverhampton Wanderers,2,1,3
Newcastle United,Arsenal,1,0,1
West Ham United,Everton,0,1,1
Aston Villa,Luton Town,3,1,4
Brighton and Hove Albion,Fulham,1,1,2
Liverpool,Nottingham Forest,3,0,3
Manchester United,Manchester City,0,3,3
Chelsea,Brentford,0,2,2
Arsenal,Sheffield United,5,0,5
Bournemouth,Burnley,2,1,3
Wolverhampton Wanderers,Newcastle United,2,2,4
Crystal Palace,Tottenham Hotspur,1,2,3
Tottenham Hotspur,Fulham,2,0,2
Aston Villa,West Ham United,4,1,5
Liverpool,Everton,2,0,2
Bournemouth,Wolverhampton Wanderers,1,2,3
Brentford,Burnley,3,0,3
Manchester City,Brighton and Hove Albion,2,1,3
Newcastle United,Crystal Palace,4,0,4
Nottingham Forest,Luton Town,2,2,4
Chelsea,Arsenal,2,2,4
Sheffield United,Manchester United,1,2,3
Brighton and Hove Albion,Liverpool,2,2,4
West Ham United,Newcastle United,2,2,4
Wolverhampton Wanderers,Aston Villa,1,1,2
Arsenal,Manchester City,1,0,1
Luton Town,Tottenham Hotspur,0,1,1
Burnley,Chelsea,1,4,5
Everton,Bournemouth,3,0,3
Fulham,Sheffield United,3,1,4
Manchester United,Brentford,2,1,3
Crystal Palace,Nottingham Forest,0,0,0
Luton Town,Burnley,1,2,3
Fulham,Chelsea,0,2,2
Nottingham Forest,Brentford,1,1,2
Aston Villa,Brighton and Hove Albion,6,1,7
Bournemouth,Arsenal,0,4,4
Everton,Luton Town,1,2,3
Manchester United,Crystal Palace,0,1,1
Newcastle United,Burnley,2,0,2
West Ham United,Sheffield United,2,0,2
Wolverhampton Wanderers,Manchester City,2,1,3
Tottenham Hotspur,Liverpool,2,1,3
Arsenal,Tottenham Hotspur,2,2,4
Brighton and Hove Albion,Bournemouth,3,1,4
Chelsea,Aston Villa,0,1,1
Liverpool,West Ham United,3,1,4
Sheffield United,Newcastle United,0,8,8
Crystal Palace,Fulham,0,0,0
Luton Town,Wolverhampton Wanderers,1,1,2
Manchester City,Nottingham Forest,2,0,2
Brentford,Everton,1,3,4
Burnley,Manchester United,0,1,1
Nottingham Forest,Burnley,1,1,2
Bournemouth,Chelsea,0,0,0
Everton,Arsenal,0,1,1
Wolverhampton Wanderers,Liverpool,1,3,4
Aston Villa,Crystal Palace,3,1,4
Fulham,Luton Town,1,0,1
Manchester United,Brighton and Hove Albion,1,3,4
Tottenham Hotspur,Sheffield United,2,1,3
West Ham United,Manchester City,1,3,4
Newcastle United,Brentford,1,0,1
Crystal Palace,Wolverhampton Wanderers,3,2,5
Liverpool,Aston Villa,3,0,3
Arsenal,Manchester United,3,1,4
Sheffield United,Everton,2,2,4
Brentford,Bournemouth,2,2,4
Burnley,Tottenham Hotspur,2,5,7
Chelsea,Nottingham Forest,0,1,1
Manchester City,Fulham,5,1,6
Brighton and Hove Albion,Newcastle United,3,1,4
Luton Town,West Ham United,1,2,3
Burnley,Aston Villa,1,3,4
Sheffield United,Manchester City,1,2,3
Newcastle United,Liverpool,1,2,3
Bournemouth,Tottenham Hotspur,0,2,2
Arsenal,Fulham,2,2,4
Brentford,Crystal Palace,1,1,2
Everton,Wolverhampton Wanderers,0,1,1
Manchester United,Nottingham Forest,3,2,5
Brighton and Hove Albion,West Ham United,1,3,4
Chelsea,Luton Town,3,0,3
Crystal Palace,Arsenal,0,1,1
Aston Villa,Everton,4,0,4
West Ham United,Chelsea,3,1,4
Fulham,Brentford,0,3,3
Liverpool,Bournemouth,3,1,4
Wolverhampton Wanderers,Brighton and Hove Albion,1,4,5
Tottenham Hotspur,Manchester United,2,0,2
Manchester City,Newcastle United,1,0,1
Nottingham Forest,Sheffield United,2,1,3
Manchester United,Wolverhampton Wanderers,1,0,1
Brentford,Tottenham Hotspur,2,2,4
Chelsea,Liverpool,1,1,2
Arsenal,Nottingham Forest,2,1,3
Bournemouth,West Ham United,1,1,2
Brighton and Hove Albion,Luton Town,4,1,5
Everton,Fulham,0,1,1
