date,Home,Away
Saturday 30th December,Luton Town,Chelsea
Saturday 30th December,Aston Villa,Burnley
Saturday 30th December,Crystal Palace,Brentford
Saturday 30th December,Manchester City,Sheffield United
Saturday 30th December,Wolverhampton Wanderers,Everton
Saturday 30th December,Nottingham Forest,Manchester United
Saturday 30th December,Fulham,Arsenal
Saturday 30th December,Tottenham Hotspur,Bournemouth
Saturday 30th December,Liverpool,Newcastle United
Saturday 30th December,West Ham United,Brighton and Hove Albion
Saturday 30th December,Chelsea,Fulham
Saturday 30th December,Newcastle United,Manchester City
Saturday 30th December,Everton,Aston Villa
Saturday 30th December,Manchester United,Tottenham Hotspur
Saturday 30th December,Burnley,Luton Town
Saturday 30th December,Arsenal,Crystal Palace
Saturday 30th December,Brentford,Nottingham Forest
Saturday 30th December,Sheffield United,West Ham United
Saturday 30th December,Bournemouth,Liverpool
Saturday 30th December,Brighton and Hove Albion,Wolverhampton Wanderers
Saturday 30th December,Nottingham Forest,Arsenal
Saturday 30th December,Fulham,Everton
Saturday 30th December,Luton Town,Brighton and Hove Albion
Saturday 30th December,Crystal Palace,Sheffield United
Saturday 30th December,Aston Villa,Newcastle United
Saturday 30th December,Manchester City,Burnley
Saturday 30th December,Tottenham Hotspur,Brentford
Saturday 30th December,Liverpool,Chelsea
Saturday 30th December,West Ham United,Bournemouth
Saturday 30th December,Wolverhampton Wanderers,Manchester United
Saturday 30th December,Everton,Tottenham Hotspur
Saturday 30th December,Brighton and Hove Albion,Crystal Palace
Saturday 30th December,Burnley,Fulham
Saturday 30th December,Newcastle United,Luton Town
Saturday 30th December,Sheffield United,Aston Villa
Saturday 30th December,Bournemouth,Nottingham Forest
Saturday 30th December,Chelsea,Wolverhampton Wanderers
Saturday 30th December,Manchester United,West Ham United
Saturday 30th December,Arsenal,Liverpool
Saturday 30th December,Brentford,Manchester City
Saturday 30th December,Manchester City,Everton
Saturday 30th December,Fulham,Bournemouth
Saturday 30th December,Liverpool,Burnley
Saturday 30th December,Luton Town,Sheffield United
Saturday 30th December,Tottenham Hotspur,Brighton and Hove Albion
Saturday 30th December,Wolverhampton Wanderers,Brentford
Saturday 30th December,Nottingham Forest,Newcastle United
Saturday 30th December,West Ham United,Arsenal
Saturday 30th December,Aston Villa,Manchester United
Saturday 30th December,Crystal Palace,Chelsea
Saturday 30th December,Brentford,Liverpool
Saturday 30th December,Burnley,Arsenal
Saturday 30th December,Fulham,Aston Villa
Saturday 30th December,Newcastle United,Bournemouth
Saturday 30th December,Nottingham Forest,West Ham United
Saturday 30th December,Tottenham Hotspur,Wolverhampton Wanderers
Saturday 30th December,Manchester City,Chelsea
Saturday 30th December,Sheffield United,Brighton and Hove Albion
Saturday 30th December,Luton Town,Manchester United
Saturday 30th December,Everton,Crystal Palace
Saturday 30th December,Chelsea,Tottenham Hotspur
Saturday 30th December,Aston Villa,Nottingham Forest
Saturday 30th December,Brighton and Hove Albion,Everton
Saturday 30th December,Crystal Palace,Burnley
Saturday 30th December,Liverpool,Luton Town
Saturday 30th December,Manchester United,Fulham
Saturday 30th December,Bournemouth,Manchester City
Saturday 30th December,Arsenal,Newcastle United
Saturday 30th December,Wolverhampton Wanderers,Sheffield United
Saturday 30th December,West Ham United,Brentford
Saturday 30th December,Brentford,Chelsea
Saturday 30th December,Burnley,Bournemouth
Saturday 30th December,Everton,West Ham United
Saturday 30th December,Fulham,Brighton and Hove Albion
Saturday 30th December,Luton Town,Aston Villa
Saturday 30th December,Manchester City,Manchester United
Saturday 30th December,Newcastle United,Wolverhampton Wanderers
Saturday 30th December,Nottingham Forest,Liverpool
Saturday 30th December,Sheffield United,Arsenal
Saturday 30th December,Tottenham Hotspur,Crystal Palace
Saturday 30th December,Arsenal,Brentford
Saturday 30th December,Aston Villa,Tottenham Hotspur
Saturday 30th December,Bournemouth,Sheffield United
Saturday 30th December,Brighton and Hove Albion,Nottingham Forest
