Home,Score,Away
Brentford,"[1, 4]",Wolverhampton Wanderers
Chelsea,"[2, 1]",Crystal Palace
Everton,"[1, 3]",Manchester City
Newcastle United,"[1, 3]",Nottingham Forest
Bournemouth,"[3, 0]",Fulham
Sheffield United,"[2, 3]",Luton Town
Burnley,"[0, 2]",Liverpool
Manchester United,"[3, 2]",Aston Villa
Wolverhampton Wanderers,"[2, 1]",Chelsea
West Ham United,"[2, 0]",Manchester United
Fulham,"[0, 2]",Burnley
Luton Town,"[1, 0]",Newcastle United
Nottingham Forest,"[2, 3]",Bournemouth
Tottenham Hotspur,"[2, 1]",Everton
Liverpool,"[1, 1]",Arsenal
Aston Villa,"[1, 1]",Sheffield United
Crystal Palace,"[1, 1]",Brighton and Hove Albion
Arsenal,"[2, 0]",Brighton and Hove Albion
Brentford,"[1, 2]",Aston Villa
West Ham United,"[3, 0]",Wolverhampton Wanderers
Liverpool,"[0, 0]",Manchester United
Chelsea,"[2, 0]",Sheffield United
Manchester City,"[2, 2]",Crystal Palace
Newcastle United,"[3, 0]",Fulham
Burnley,"[0, 2]",Everton
Nottingham Forest,"[0, 2]",Tottenham Hotspur
Everton,"[2, 0]",Chelsea
Fulham,"[5, 0]",West Ham United
Luton Town,"[1, 2]",Manchester City
Tottenham Hotspur,"[4, 1]",Newcastle United
Crystal Palace,"[1, 2]",Liverpool
Brighton and Hove Albion,"[1, 1]",Burnley
Manchester United,"[0, 3]",Bournemouth
Sheffield United,"[1, 0]",Brentford
Wolverhampton Wanderers,"[1, 1]",Nottingham Forest
Aston Villa,"[1, 0]",Arsenal
Everton,"[3, 0]",Newcastle United
Tottenham Hotspur,"[1, 2]",West Ham United
Brighton and Hove Albion,"[2, 1]",Brentford
Crystal Palace,"[0, 2]",Bournemouth
Fulham,"[5, 0]",Nottingham Forest
Sheffield United,"[0, 2]",Liverpool
Aston Villa,"[1, 0]",Manchester City
Manchester United,"[2, 1]",Chelsea
Wolverhampton Wanderers,"[1, 0]",Burnley
Luton Town,"[3, 4]",Arsenal
Bournemouth,"[2, 2]",Aston Villa
Chelsea,"[3, 2]",Brighton and Hove Albion
Liverpool,"[4, 3]",Fulham
West Ham United,"[1, 1]",Crystal Palace
Manchester City,"[3, 3]",Tottenham Hotspur
Arsenal,"[2, 1]",Wolverhampton Wanderers
Brentford,"[3, 1]",Luton Town
Burnley,"[5, 0]",Sheffield United
Nottingham Forest,"[0, 1]",Everton
Newcastle United,"[1, 0]",Manchester United
Fulham,"[3, 2]",Wolverhampton Wanderers
Tottenham Hotspur,"[1, 2]",Aston Villa
Everton,"[0, 3]",Manchester United
Manchester City,"[1, 1]",Liverpool
Burnley,"[1, 2]",West Ham United
Luton Town,"[2, 1]",Crystal Palace
Newcastle United,"[4, 1]",Chelsea
Nottingham Forest,"[2, 3]",Brighton and Hove Albion
Sheffield United,"[1, 3]",Bournemouth
Brentford,"[0, 1]",Arsenal
Aston Villa,"[3, 1]",Fulham
Brighton and Hove Albion,"[1, 1]",Sheffield United
Liverpool,"[3, 0]",Brentford
West Ham United,"[3, 2]",Nottingham Forest
Chelsea,"[4, 4]",Manchester City
Wolverhampton Wanderers,"[2, 1]",Tottenham Hotspur
Arsenal,"[3, 1]",Burnley
Crystal Palace,"[2, 3]",Everton
Manchester United,"[1, 0]",Luton Town
Bournemouth,"[2, 0]",Newcastle United
Tottenham Hotspur,"[1, 4]",Chelsea
Nottingham Forest,"[2, 0]",Aston Villa
Luton Town,"[1, 1]",Liverpool
Fulham,"[0, 1]",Manchester United
Brentford,"[3, 2]",West Ham United
Burnley,"[0, 2]",Crystal Palace
Everton,"[1, 1]",Brighton and Hove Albion
Manchester City,"[6, 1]",Bournemouth
Sheffield United,"[2, 1]",Wolverhampton Wanderers
Newcastle United,"[1, 0]",Arsenal
West Ham United,"[0, 1]",Everton
Aston Villa,"[3, 1]",Luton Town
Brighton and Hove Albion,"[1, 1]",Fulham
Liverpool,"[3, 0]",Nottingham Forest
Manchester United,"[0, 3]",Manchester City
Chelsea,"[0, 2]",Brentford
Arsenal,"[5, 0]",Sheffield United
Bournemouth,"[2, 1]",Burnley
Wolverhampton Wanderers,"[2, 2]",Newcastle United
Crystal Palace,"[1, 2]",Tottenham Hotspur
Tottenham Hotspur,"[2, 0]",Fulham
Aston Villa,"[4, 1]",West Ham United
Liverpool,"[2, 0]",Everton
Bournemouth,"[1, 2]",Wolverhampton Wanderers
Brentford,"[3, 0]",Burnley
Manchester City,"[2, 1]",Brighton and Hove Albion
Newcastle United,"[4, 0]",Crystal Palace
Nottingham Forest,"[2, 2]",Luton Town
Chelsea,"[2, 2]",Arsenal
Sheffield United,"[1, 2]",Manchester United
Brighton and Hove Albion,"[2, 2]",Liverpool
West Ham United,"[2, 2]",Newcastle United
Wolverhampton Wanderers,"[1, 1]",Aston Villa
Arsenal,"[1, 0]",Manchester City
Luton Town,"[0, 1]",Tottenham Hotspur
Burnley,"[1, 4]",Chelsea
Everton,"[3, 0]",Bournemouth
Fulham,"[3, 1]",Sheffield United
Manchester United,"[2, 1]",Brentford
Crystal Palace,"[0, 0]",Nottingham Forest
Luton Town,"[1, 2]",Burnley
Fulham,"[0, 2]",Chelsea
Nottingham Forest,"[1, 1]",Brentford
Aston Villa,"[6, 1]",Brighton and Hove Albion
Bournemouth,"[0, 4]",Arsenal
Everton,"[1, 2]",Luton Town
Manchester United,"[0, 1]",Crystal Palace
Newcastle United,"[2, 0]",Burnley
West Ham United,"[2, 0]",Sheffield United
Wolverhampton Wanderers,"[2, 1]",Manchester City
Tottenham Hotspur,"[2, 1]",Liverpool
Arsenal,"[2, 2]",Tottenham Hotspur
Brighton and Hove Albion,"[3, 1]",Bournemouth
Chelsea,"[0, 1]",Aston Villa
Liverpool,"[3, 1]",West Ham United
Sheffield United,"[0, 8]",Newcastle United
Crystal Palace,"[0, 0]",Fulham
Luton Town,"[1, 1]",Wolverhampton Wanderers
Manchester City,"[2, 0]",Nottingham Forest
Brentford,"[1, 3]",Everton
Burnley,"[0, 1]",Manchester United
Nottingham Forest,"[1, 1]",Burnley
Bournemouth,"[0, 0]",Chelsea
Everton,"[0, 1]",Arsenal
Wolverhampton Wanderers,"[1, 3]",Liverpool
Aston Villa,"[3, 1]",Crystal Palace
Fulham,"[1, 0]",Luton Town
Manchester United,"[1, 3]",Brighton and Hove Albion
Tottenham Hotspur,"[2, 1]",Sheffield United
West Ham United,"[1, 3]",Manchester City
Newcastle United,"[1, 0]",Brentford
Crystal Palace,"[3, 2]",Wolverhampton Wanderers
Liverpool,"[3, 0]",Aston Villa
Arsenal,"[3, 1]",Manchester United
Sheffield United,"[2, 2]",Everton
Brentford,"[2, 2]",Bournemouth
Burnley,"[2, 5]",Tottenham Hotspur
Chelsea,"[0, 1]",Nottingham Forest
Manchester City,"[5, 1]",Fulham
Brighton and Hove Albion,"[3, 1]",Newcastle United
Luton Town,"[1, 2]",West Ham United
Burnley,"[1, 3]",Aston Villa
Sheffield United,"[1, 2]",Manchester City
Newcastle United,"[1, 2]",Liverpool
Bournemouth,"[0, 2]",Tottenham Hotspur
Arsenal,"[2, 2]",Fulham
Brentford,"[1, 1]",Crystal Palace
Everton,"[0, 1]",Wolverhampton Wanderers
Manchester United,"[3, 2]",Nottingham Forest
Brighton and Hove Albion,"[1, 3]",West Ham United
Chelsea,"[3, 0]",Luton Town
Crystal Palace,"[0, 1]",Arsenal
Aston Villa,"[4, 0]",Everton
West Ham United,"[3, 1]",Chelsea
Fulham,"[0, 3]",Brentford
Liverpool,"[3, 1]",Bournemouth
Wolverhampton Wanderers,"[1, 4]",Brighton and Hove Albion
Tottenham Hotspur,"[2, 0]",Manchester United
Manchester City,"[1, 0]",Newcastle United
Nottingham Forest,"[2, 1]",Sheffield United
Manchester United,"[1, 0]",Wolverhampton Wanderers
Brentford,"[2, 2]",Tottenham Hotspur
Chelsea,"[1, 1]",Liverpool
Arsenal,"[2, 1]",Nottingham Forest
Bournemouth,"[1, 1]",West Ham United
Brighton and Hove Albion,"[4, 1]",Luton Town
Everton,"[0, 1]",Fulham
Sheffield United,"[0, 1]",Crystal Palace
Newcastle United,"[5, 1]",Aston Villa
Burnley,"[0, 3]",Manchester City
